comid,stream_order,stream_lat,stream_lon,max_forecasted_flow,date_exceeds_return_period_2,date_exceeds_return_period_5,date_exceeds_return_period_10,date_exceeds_return_period_25,date_exceeds_return_period_50,date_exceeds_return_period_100
13037674.0,3,48.47081756591797,-91.41641235351562,42.3,2022-10-21 00:00:00,2022-10-25 00:00:00,,,,
13037434.0,3,48.54802703857422,-91.41859436035156,21.02,2022-10-21 00:00:00,,,,,
13037043.0,3,48.58795547485352,-91.32560729980467,13.91,2022-10-21 00:00:00,,,,,
13037824.0,3,48.46086120605469,-82.95587921142578,32.62,2022-10-30 06:00:00,,,,,
13037565.0,3,48.48926544189453,-83.33097839355469,44.74,2022-10-27 00:00:00,,,,,
13038356.0,3,48.40487289428711,-78.08326721191406,95.2,2022-10-24 12:00:00,,,,,
13037326.0,5,48.5789909362793,-93.4438247680664,527.54,2022-10-21 00:00:00,,,,,
13036741.0,2,48.79352188110352,-87.5400161743164,7.59,2022-10-25 03:00:00,,,,,
13036740.0,5,48.78775024414063,-87.63139343261719,296.04,2022-10-21 00:00:00,,,,,
13036863.0,5,48.6387825012207,-93.2497100830078,453.75,2022-10-21 00:00:00,,,,,
13036862.0,3,48.65791702270508,-93.29747772216795,77.69,2022-10-21 00:00:00,,,,,
13037269.0,3,48.62744522094727,-89.60834503173828,33.66,2022-10-29 18:00:00,,,,,
13038239.0,2,48.41521072387695,-80.99250793457031,14.96,2022-10-24 12:00:00,,,,,
13037412.0,3,48.51936721801758,-82.89128112792969,35.28,2022-10-30 00:00:00,,,,,
13037205.0,2,48.601219177246094,-92.4325180053711,5.85,2022-10-21 00:00:00,,,,,
13037275.0,2,48.54220962524414,-92.5964813232422,8.31,2022-10-21 00:00:00,,,,,
13036562.0,3,48.71930313110352,-89.6041259765625,31.02,2022-10-27 06:00:00,,,,,
13037017.0,2,48.61259841918945,-89.88774108886719,3.29,2022-10-23 09:00:00,,,,,
13037115.0,2,48.58557891845703,-91.9444351196289,4.51,2022-10-21 00:00:00,,,,,
13037093.0,2,48.5812873840332,-81.5481185913086,39.59,2022-10-23 00:00:00,,,,,
13037137.0,2,48.56967926025391,-81.52580261230469,42.74,2022-10-21 12:00:00,,,,,
13037035.0,2,48.60943984985352,-81.57018280029297,36.4,2022-10-26 18:00:00,,,,,
13037021.0,3,48.60791397094727,-91.31982421875,12.29,2022-10-21 00:00:00,,,,,
13037398.0,2,48.5918083190918,-81.70702362060547,22.28,2022-10-27 06:00:00,,,,,
13036901.0,3,48.64755630493164,-91.23973083496094,8.81,2022-10-21 15:00:00,,,,,
