Name,Lat,Lon,One year flood,Two year flood
"Rio Grande nr Castolon, TX",29.13798,-103.5249033,9575.78947368421,13041.0
LOS ANGELES R A SEPULVEDA DAM CA,34.16167247,-118.466749,3692.684210526316,5081.0
"NORTH BRANCH CHICAGO RIVER AT NILES, IL",42.0122222,-87.7958333,1514.6315789473683,1809.0
CARBON C A LOS ALAMITOS CA,33.81527778,-118.0644444,76.43368421052632,128.504
"Berry Bayou at Nevada St, Houston, TX",29.65661915,-95.2291011,546.4157894736842,736.8
"PEMBINA RIVER AT NECHE, ND",48.9897138,-97.5570221,5405.315789473684,8696.0
SACRAMENTO R A FREEPORT CA,38.45601954,-121.5013437,nan,nan
"RED RUN AT 14 MILE ROAD AT WARREN, MI",42.53781308,-83.0057566,282.7578947368421,369.2
"ST. CLAIR RIVER AT PORT HURON, MI",42.98697429,-82.4246369,226789.47368421053,234400.0
ALLEY CREEK NEAR OAKLAND GARDENS NY,40.7558333,-73.7458333,11.303684210526317,14.8
WILDWOOD CANYON CR A BURBANK CA,34.20944444,-118.2916667,0.14894736842105263,1.3690000000000002
"Buffalo Bayou at Piney Point, TX",29.7468959,-95.5235538,nan,nan
BRONX RIVER AT NY BOTANICAL GARDEN AT BRONX NY,40.86230556,-73.87438889,969.6315789473684,1164.1
"MIAMI CANAL AT NW36 ST, MIAMI,FL",25.80843135,-80.2633833,nan,nan
"NB CHICAGO RIVER AT N PULASKI ROAD AT CHICAGO, IL",41.9747222,-87.7283333,924.4736842105264,1067.5
St. Mary Canal at St. Mary Crossing near Babb MT,48.94696667,-113.3753306,639.3157894736842,649.9
"Cobbs Creek at Mt. Moriah Cemetery, Philadelphia",39.9327861,-75.2376361,547.6315789473684,772.2
"West Papillion Creek at Millard, Nebr.",41.2073611,-96.1276111,758.0842105263158,868.7
St. Mary Canal at St. Mary Crossing near Babb MT,48.94696667,-113.3753306,639.3157894736842,649.9
"Slaughter Ck at FM 2304 nr Austin, TX",30.1621554,-97.8322279,723.8068421052632,1222.2
VALLEY STREAM AT VALLEY STREAM NY,40.66380556,-73.70452778,67.57368421052634,88.84
SAN RAMON C A SAN RAMON CA,37.772983,-121.9946825,83.32631578947367,122.72999999999998
HUTCHINSON RIVER AT PELHAM NY,40.9111111,-73.8133333,84.19999999999999,118.16
SACRAMENTO WEIR SPILL TO YOLO BYPASS NR SAC CA,38.60684926,-121.5552347,4905.263157894737,9320.0
CARBON C A LOS ALAMITOS CA,33.81527778,-118.0644444,76.43368421052632,128.504
"Cobbs Creek at Mt. Moriah Cemetery, Philadelphia",39.9327861,-75.2376361,547.6315789473684,772.2
"San Antonio Rv at Loop 410, San Antonio, TX",29.32218127,-98.4502932,nan,nan
Second River at Belleville NJ,40.78805556,-74.1716667,316.89473684210526,437.8
"Sims Bayou at Hiram Clarke St, Houston, TX",29.61884399,-95.4460522,2071.4210526315787,2941.0
ST JOE CREEK AT 62ND ST NR PINELLAS PARK FL,27.81023889,-82.7203611,78.41894736842106,113.33
"ST. CLAIR RIVER AT PORT HURON, MI",42.98697429,-82.4246369,226789.47368421053,234400.0
SHINGLE CREEK TRIB. AT ZANE AVE. IN BROOKLYN PARK,45.0822222,-93.3547222,2.2863157894736843,3.3049999999999997
"Denton Ck nr Grapevine, TX",32.9870677,-97.0127857,1650.5263157894738,2380.7
SAN LORENZO C A SAN LORENZO CA,37.6840977,-122.1399649,746.7368421052631,950.7
