POINTING OPTIONS COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 1.0
Mission Duration [Days] is 1.0
time index,pnt-opt index,lat [deg],lon [deg]
485,0,-23.471,268.942
486,0,-23.519,268.964
487,0,-23.566,268.985
488,0,-23.614,269.007
489,0,-23.662,269.028
490,0,-23.71,269.05
491,0,-23.757,269.071
492,0,-23.805,269.093
493,0,-23.853,269.115
494,0,-23.901,269.136
495,0,-23.948,269.158
496,0,-23.996,269.18
497,0,-24.044,269.201
498,0,-24.092,269.223
499,0,-24.139,269.245
500,0,-24.187,269.266
501,0,-24.235,269.288
502,0,-24.282,269.31
503,0,-24.33,269.332
504,0,-24.378,269.354
505,0,-24.426,269.375
506,0,-24.473,269.397
507,0,-24.521,269.419
508,0,-24.569,269.441
509,0,-24.616,269.463
510,0,-24.664,269.485
511,0,-24.712,269.507
512,0,-24.759,269.529
513,0,-24.807,269.551
514,0,-24.855,269.573
515,0,-24.902,269.595
516,0,-24.95,269.617
517,0,-24.998,269.639
518,0,-25.045,269.661
519,0,-25.093,269.683
520,0,-25.14,269.705
521,0,-25.188,269.727
522,0,-25.236,269.75
523,0,-25.283,269.772
524,0,-25.331,269.794
525,0,-25.379,269.816
526,0,-25.426,269.839
527,0,-25.474,269.861
528,0,-25.521,269.883
529,0,-25.569,269.905
530,0,-25.616,269.928
531,0,-25.664,269.95
532,0,-25.712,269.973
533,0,-25.759,269.995
534,0,-25.807,270.017
535,0,-25.854,270.04
536,0,-25.902,270.062
537,0,-25.949,270.085
538,0,-25.997,270.107
539,0,-26.044,270.13
540,0,-26.092,270.152
541,0,-26.14,270.175
542,0,-26.187,270.198
543,0,-26.235,270.22
544,0,-26.282,270.243
545,0,-26.33,270.266
546,0,-26.377,270.288
547,0,-26.425,270.311
548,0,-26.472,270.334
549,0,-26.52,270.356
550,0,-26.567,270.379
551,0,-26.615,270.402
552,0,-26.662,270.425
553,0,-26.709,270.448
554,0,-26.757,270.471
555,0,-26.804,270.493
556,0,-26.852,270.516
557,0,-26.899,270.539
558,0,-26.947,270.562
559,0,-26.994,270.585
560,0,-27.042,270.608
561,0,-27.089,270.631
562,0,-27.136,270.654
563,0,-27.184,270.677
564,0,-27.231,270.701
565,0,-27.279,270.724
566,0,-27.326,270.747
567,0,-27.373,270.77
568,0,-27.421,270.793
569,0,-27.468,270.816
570,0,-27.516,270.84
571,0,-27.563,270.863
572,0,-27.61,270.886
573,0,-27.658,270.909
574,0,-27.705,270.933
575,0,-27.752,270.956
576,0,-27.8,270.98
577,0,-27.847,271.003
578,0,-27.894,271.026
579,0,-27.942,271.05
580,0,-27.989,271.073
581,0,-28.036,271.097
582,0,-28.084,271.12
583,0,-28.131,271.144
584,0,-28.178,271.167
585,0,-28.226,271.191
586,0,-28.273,271.215
587,0,-28.32,271.238
588,0,-28.368,271.262
589,0,-28.415,271.286
590,0,-28.462,271.309
591,0,-28.509,271.333
592,0,-28.557,271.357
593,0,-28.604,271.381
594,0,-28.651,271.405
595,0,-28.698,271.428
596,0,-28.746,271.452
597,0,-28.793,271.476
598,0,-28.84,271.5
599,0,-28.887,271.524
600,0,-28.934,271.548
601,0,-28.982,271.572
602,0,-29.029,271.596
603,0,-29.076,271.62
604,0,-29.123,271.644
605,0,-29.17,271.668
606,0,-29.218,271.693
607,0,-29.265,271.717
608,0,-29.312,271.741
609,0,-29.359,271.765
610,0,-29.406,271.789
611,0,-29.453,271.814
612,0,-29.501,271.838
613,0,-29.548,271.862
614,0,-29.595,271.887
615,0,-29.642,271.911
616,0,-29.689,271.935
617,0,-29.736,271.96
618,0,-29.783,271.984
619,0,-29.83,272.009
620,0,-29.877,272.033
621,0,-29.925,272.058
622,0,-29.972,272.082
623,0,-30.019,272.107
624,0,-30.066,272.132
625,0,-30.113,272.156
626,0,-30.16,272.181
627,0,-30.207,272.206
628,0,-30.254,272.23
629,0,-30.301,272.255
630,0,-30.348,272.28
631,0,-30.395,272.305
632,0,-30.442,272.329
633,0,-30.489,272.354
634,0,-30.536,272.379
635,0,-30.583,272.404
636,0,-30.63,272.429
